Sample,Mean Score,Hallucination Share Across Models (%),NA_Count,Limited_Count,Moderate_Count,Extensive_Count,NoResult_Count,InferenceFailed_Count,Models_Evaluated
Crimson Horizon,2.947,3.5,55,1,1,0,0,0,57
Velvet Thunder,2.965,3.5,55,2,0,0,0,0,57
Quantum Leap,2.702,12.3,49,1,2,4,0,1,57
Mystic River,2.895,5.3,54,1,1,1,0,0,57
Echo Valley,2.912,5.3,54,1,2,0,0,0,57
Silent Peak,2.912,5.3,53,1,2,0,0,1,57
Azure Sky,2.877,5.3,53,0,2,1,0,1,57
Golden Dawn,2.754,12.3,50,1,5,1,0,0,57
Iron Gate,2.860,10.5,51,4,2,0,0,0,57
Silver Stream,2.912,5.3,53,1,2,0,0,1,57
Winter Flame,2.912,7.0,53,3,1,0,0,0,57
Ember Wind,2.930,3.5,54,0,2,0,0,1,57
Crystal Shore,2.947,3.5,55,1,1,0,0,0,57
Shadow Frost,2.895,7.0,53,3,0,1,0,0,57
Ocean Mist,2.860,7.0,53,0,4,0,0,0,57
Twilight Spark,3.000,0.0,56,0,0,0,0,1,57
Lunar Glow,2.912,7.0,53,3,1,0,0,0,57
Starlight Trail,2.947,3.5,55,1,1,0,0,0,57
Amber Field,2.930,3.5,53,0,2,0,0,2,57
Frost Wave,2.912,7.0,53,3,1,0,0,0,57
Sunlit Path,2.930,3.5,55,0,2,0,0,0,57
Ember Grove,2.895,5.3,53,0,3,0,0,1,57
Misty Cove,2.912,5.3,53,1,2,0,0,0,57
Thunder Cloud,2.912,7.0,53,3,1,0,0,0,57
Sapphire Lake,2.877,5.3,54,0,2,1,0,0,57
Obsidian Night,2.877,5.3,52,1,0,2,0,2,57
Whispering Sands,2.912,5.3,54,1,2,0,0,0,57
Radiant Forest,2.930,3.5,55,0,2,0,0,0,57
Diamond Ridge,2.912,5.3,54,1,2,0,0,0,57
Opal Waters,2.947,3.5,55,1,1,0,0,0,57
Frozen Summit,2.895,5.3,54,1,1,1,0,0,57
Stormy Vista,2.825,7.0,53,0,2,2,0,0,57
Fiery Depths,2.912,5.3,54,1,2,0,0,0,57
Celestial Path,2.930,5.3,54,2,1,0,0,0,57
Verdant Cliffs,2.947,3.5,55,1,1,0,0,0,57
Azure Depths,2.947,5.3,52,3,0,0,0,2,57
Twilight Meadow,2.930,5.3,54,2,1,0,0,0,57
Whisper Wind,2.947,3.5,55,1,1,0,0,0,57
Emerald Valley,2.912,5.3,53,1,2,0,0,1,57
Cobalt Plains,2.912,5.3,54,1,2,0,0,0,57
Silver Pine,2.877,7.0,52,1,3,0,0,1,57
Jade Harbor,2.912,3.5,55,0,1,1,0,0,57
Ruby Sands,2.877,7.0,53,1,3,0,0,0,57
Ironwood Forest,2.842,7.0,53,0,3,1,0,0,57
Sapphire Peak,2.895,5.3,53,1,1,1,0,1,57
Coral Reef,2.614,17.5,47,2,4,4,0,0,57
Ivory Coast,2.860,8.8,51,2,3,0,0,1,57
Onyx Hall,2.982,1.8,54,1,0,0,0,2,57
Goldenrod Hill,2.895,5.3,54,0,3,0,0,0,57
Midnight Sun,2.947,3.5,55,1,1,0,0,0,57
Luminaricella splendens,2.649,29.8,40,14,3,0,0,0,57
Veloxigenium rapidus,2.667,26.3,42,11,4,0,0,0,57
Frigusoma glaciei,2.439,54.4,26,30,1,0,0,0,57
Ignicellula ardor,2.456,49.1,29,26,1,1,0,0,57
Solispira lumina,2.649,33.3,38,18,1,0,0,0,57
Aurorabacillus albus,2.228,61.4,22,26,9,0,0,0,57
Aquavibrio unda,2.298,59.6,23,28,6,0,0,0,57
Ventiella zephyri,2.667,29.8,40,15,2,0,0,0,57
Arboricola silvae,2.509,42.1,33,20,4,0,0,0,57
Petraflexus saxi,2.491,47.4,29,25,2,0,0,1,57
Luxbacillus fulgor,2.702,26.3,41,13,2,0,0,1,57
Nixicoccus nivalis,2.386,52.6,27,26,3,1,0,0,57
Calidibacter caloris,2.193,68.4,18,32,7,0,0,0,57
Sidereum ferrum,2.807,17.5,46,9,1,0,0,1,57
Gelubacillus frigidus,2.193,68.4,18,32,7,0,0,0,57
Umbralevi umbrarum,2.684,22.8,44,10,1,2,0,0,57
Caelibacter caeli,2.368,54.4,26,26,5,0,0,0,57
Aquilonifer borealis,2.404,49.1,29,23,4,1,0,0,57
Luminoflora lux,2.912,8.8,52,5,0,0,0,0,57
Stellibacter astrum,2.404,56.1,25,30,2,0,0,0,57
Crescobacter cresco,2.614,29.8,40,12,5,0,0,0,57
Flammabacter ignis,2.596,36.8,36,19,2,0,0,0,57
Monticola montis,2.632,31.6,39,15,3,0,0,0,57
Silvarumcella foresta,2.684,29.8,40,16,1,0,0,0,57
Ventusospira venti,2.579,36.8,36,18,3,0,0,0,57
Arboribacter ligni,2.211,70.2,17,35,5,0,0,0,57
Siderosoma ferri,2.596,35.1,37,17,3,0,0,0,57
Fluminibacter fluvii,2.000,84.2,9,39,9,0,0,0,57
Glaeciabacter glacies,2.404,52.6,27,26,4,0,0,0,57
Ferrivibrio ferrum,2.105,70.2,16,30,9,1,0,1,57
Temporibacter tempus,2.632,33.3,38,17,2,0,0,0,57
Radiobacillus radio,2.684,26.3,42,12,3,0,0,0,57
Ignispirillum igneus,2.211,64.9,20,30,6,1,0,0,57
Niveococcus niveus,2.439,49.1,29,24,4,0,0,0,57
Heliosoma solis,2.912,8.8,52,5,0,0,0,0,57
Aquaspira aquae,2.421,47.4,30,21,6,0,0,0,57
Glaciigenium glacialis,2.140,73.7,15,36,5,1,0,0,57
Caelumcoccus aether,2.860,14.0,49,8,0,0,0,0,57
Lunabacter lunae,2.526,40.4,34,19,4,0,0,0,57
Terrafermentum terra,2.667,28.1,41,13,3,0,0,0,57
Phosphoribacter phosphorus,2.386,43.9,32,17,6,2,0,0,57
Oralevi oralis,2.737,22.8,44,11,2,0,0,0,57
Aestusbacter aestus,2.456,52.6,26,29,1,0,0,1,57
Nubibacter nubes,2.368,56.1,25,28,4,0,0,0,57
Calorella calidus,2.684,26.3,42,12,3,0,0,0,57
Tenebrisoma tenebrae,2.702,29.8,40,17,0,0,0,0,57
Polarisfermentum polus,2.614,36.8,36,20,1,0,0,0,57
Salumispira salum,2.439,52.6,27,28,2,0,0,0,57
Nocticella noctis,2.596,35.1,37,17,3,0,0,0,57
Firmamentibacter firmamentum,2.246,64.9,20,32,4,1,0,0,57
Bacillus splendens,2.123,68.4,17,29,9,1,0,1,57
Staphylococcus rapidus,2.298,47.4,29,14,13,0,0,1,57
Pseudomonas glaciei,1.895,89.5,6,39,12,0,0,0,57
Lactobacillus ardor,2.386,35.1,37,5,15,0,0,0,57
Rhodobacter lumina,2.368,42.1,33,13,10,1,0,0,57
Escherichia albus,2.351,26.3,42,4,0,11,0,0,57
Streptococcus unda,2.579,22.8,44,5,5,3,0,0,57
Enterococcus zephyri,2.158,64.9,20,27,9,1,0,0,57
Klebsiella silvae,1.895,78.9,12,29,14,2,0,0,57
Serratia saxi,2.140,64.9,20,27,8,2,0,0,57
Acinetobacter fulgor,2.105,56.1,25,17,11,4,0,0,57
Corynebacterium nivalis,2.000,82.5,10,37,10,0,0,0,57
Legionella caloris,2.175,66.7,19,29,9,0,0,0,57
Mycobacterium ferrum,2.228,50.9,28,16,11,2,0,0,57
Clostridium frigidus,2.123,75.4,14,36,7,0,0,0,57
Vibrio umbrarum,1.982,80.7,11,34,12,0,0,0,57
Aeromonas caeli,1.982,77.2,13,30,14,0,0,0,57
Campylobacter borealis,1.807,86.0,8,32,15,2,0,0,57
Helicobacter lux,2.579,33.3,38,14,5,0,0,0,57
Neisseria astrum,2.386,45.6,31,18,7,1,0,0,57
Salmonella cresco,2.368,33.3,38,6,9,4,0,0,57
Proteus ignis,2.614,29.8,39,12,5,0,1,0,57
Shigella montis,2.368,43.9,32,15,9,1,0,0,57
Haemophilus foresta,2.561,31.6,39,11,7,0,0,0,57
Yersinia venti,2.316,50.9,28,19,10,0,0,0,57
Pasteurella ligni,2.316,57.9,24,27,6,0,0,0,57
Micrococcus ferri,2.193,61.4,22,24,11,0,0,0,57
Leuconostoc fluvii,1.912,78.9,11,30,13,2,0,1,57
Bacteroides glacies,2.298,54.4,26,22,9,0,0,0,57
Veillonella ferrum,2.088,64.9,20,22,15,0,0,0,57
Fusobacterium tempus,2.509,38.6,35,16,6,0,0,0,57
Actinomyces radio,2.439,40.4,34,15,7,1,0,0,57
Bordetella igneus,2.439,50.9,28,26,3,0,0,0,57
Brucella niveus,2.439,42.1,33,17,6,1,0,0,57
Chlamydia solis,2.649,31.6,39,16,2,0,0,0,57
Treponema aquae,2.298,63.2,21,32,4,0,0,0,57
Burkholderia glacialis,1.842,89.5,5,37,13,1,0,1,57
Francisella aether,2.667,26.3,42,11,4,0,0,0,57
Rickettsia lunae,2.263,61.4,22,28,7,0,0,0,57
Streptomyces terra,1.579,71.9,15,12,18,11,0,1,57
Listeria phosphorus,2.754,14.0,49,2,6,0,0,0,57
Nocardia oralis,1.684,87.7,7,26,23,1,0,0,57
Spirochaeta aestus,2.193,73.7,14,38,4,0,0,1,57
Mycoplasma nubes,2.404,45.6,31,19,6,1,0,0,57
Anaplasma calidus,2.228,56.1,25,22,8,2,0,0,57
Bartonella tenebrae,2.281,63.2,21,31,5,0,0,0,57
Chlamydophila polus,2.789,17.5,47,8,2,0,0,0,57
Eikenella salum,2.386,38.6,35,11,9,2,0,0,57
Gallionella noctis,2.368,52.6,27,24,6,0,0,0,57
Xanthomonas firmamentum,2.439,42.1,33,16,8,0,0,0,57
Luminaricella coli,2.930,5.3,54,2,1,0,0,0,57
Veloxigenium aeruginosa,2.719,19.3,46,7,3,1,0,0,57
Frigusoma putida,2.544,26.3,42,5,9,1,0,0,57
Ignicellula acidilactici,2.158,56.1,25,18,12,2,0,0,57
Solispira typhimurium,2.632,17.5,47,3,3,4,0,0,57
Aurorabacillus subtilis,2.193,29.8,39,0,5,12,0,1,57
Aquavibrio cholerae,2.175,33.3,38,2,6,11,0,0,57
Ventiella faecalis,2.649,26.3,42,10,5,0,0,0,57
Arboricola pneumoniae,2.649,19.3,46,4,5,2,0,0,57
Petraflexus fragilis,2.386,52.6,26,25,5,0,0,1,57
Luxbacillus cereus,2.158,33.3,38,1,7,11,0,0,57
Nixicoccus aureus,2.684,21.1,44,7,4,1,0,1,57
Calidibacter thermophilus,1.982,82.5,10,38,7,2,0,0,57
Sidereum metallidurans,2.316,38.6,35,9,9,4,0,0,57
Gelubacillus licheniformis,1.825,47.4,30,2,10,15,0,0,57
Umbralevi influenzae,2.719,14.0,49,2,4,2,0,0,57
Caelibacter perfringens,2.404,26.3,42,3,5,7,0,0,57
Aquilonifer dysenteriae,2.702,22.8,44,10,2,1,0,0,57
Luminoflora rhamnosus,2.754,14.0,48,2,6,0,0,1,57
Stellibacter agalactiae,2.491,36.8,36,15,4,2,0,0,57
Crescobacter plantarum,2.544,26.3,42,5,9,1,0,0,57
Flammabacter pyogenes,2.561,35.1,37,15,5,0,0,0,57
Monticola anthracis,2.719,19.3,46,8,1,2,0,0,57
Silvarumcella tularensis,2.579,28.1,41,11,2,3,0,0,57
Ventusospira typhi,2.702,17.5,47,4,5,1,0,0,57
Arboribacter melitensis,2.474,45.6,31,23,2,1,0,0,57
Siderosoma enteritidis,2.667,19.3,46,5,4,2,0,0,57
Fluminibacter meningitidis,2.544,33.3,38,12,7,0,0,0,57
Glaeciabacter megaterium,2.456,28.1,41,4,9,3,0,0,57
Ferrivibrio vulnificus,2.193,42.1,33,9,8,7,0,0,57
Temporibacter coli,2.632,24.6,42,8,5,1,0,1,57
Radiobacillus difficile,2.614,21.1,45,2,10,0,0,0,57
Ignispirillum jirovecii,2.526,38.6,35,18,3,1,0,0,57
Niveococcus pneumoniae,2.561,15.8,48,0,2,7,0,0,57
Heliosoma epidermidis,2.825,15.8,48,8,1,0,0,0,57
Aquaspira mirabilis,2.316,50.9,28,20,8,1,0,0,57
Glaciigenium thermoglucosidasius,2.105,59.6,23,21,9,4,0,0,57
Caelumcoccus sporogenes,2.719,22.8,44,10,3,0,0,0,57
Lunabacter monocytogenes,2.684,15.8,48,4,1,4,0,0,57
Terrafermentum diphtheriae,2.789,15.8,48,6,3,0,0,0,57
Phosphoribacter salmonis,2.298,56.1,25,25,6,1,0,0,57
Oralevi gingivalis,2.421,31.6,39,8,5,5,0,0,57
Aestusbacter haemolyticus,2.456,47.4,30,23,4,0,0,0,57
Nubibacter suis,2.456,45.6,31,21,5,0,0,0,57
Calorella botulinum,2.544,21.1,45,3,4,5,0,0,57
Tenebrisoma palustris,2.632,33.3,38,17,2,0,0,0,57
Polarisfermentum maltophilia,2.526,33.3,36,11,8,0,0,2,57
Salumispira marcescens,2.509,24.6,43,4,6,4,0,0,57
Nocticella legionellae,2.509,43.9,32,22,3,0,0,0,57
Firmamentibacter cloacae,2.175,57.9,24,22,8,3,0,0,57
